	citric acid	citric acid	citric acid	citric acid	glucose	glucose	glucose	glucose	malic acid	malic acid	malic acid	malic acid
	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1
	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184
y000116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000118	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000120	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000121	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000122	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000123	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
y000124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000142	0.007	0.019	0.019	0.004	0.023	0.041	0.061	0.008	0.01	0.022	0.027	0.009
y000143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000144	0.007	0.019	0.019	0.004	0.023	0.041	0.061	0.008	0.01	0.022	0.027	0.009
y000145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
