	SRM (fmole/ug) - average of peptides_idp1_citric acid	SRM (fmole/ug) - average of peptides_idp1_glucose	SRM (fmole/ug) - average of peptides_idp1_malic acid	SRM (fmole/ug) - average of peptides_mae1_citric acid	SRM (fmole/ug) - average of peptides_mae1_glucose	SRM (fmole/ug) - average of peptides_mae1_malic acid	SRM (fmole/ug) - average of peptides_wild-type_citric acid	SRM (fmole/ug) - average of peptides_wild-type_glucose	SRM (fmole/ug) - average of peptides_wild-type_malic acid	SRM (fmole/ug) - average of peptides_zwf1_citric acid	SRM (fmole/ug) - average of peptides_zwf1_glucose	SRM (fmole/ug) - average of peptides_zwf1_malic acid	$\sigma$_idp1_citric acid	$\sigma$_idp1_glucose	$\sigma$_idp1_malic acid	$\sigma$_mae1_citric acid	$\sigma$_mae1_glucose	$\sigma$_mae1_malic acid	$\sigma$_wild-type_citric acid	$\sigma$_wild-type_glucose	$\sigma$_wild-type_malic acid	$\sigma$_zwf1_citric acid	$\sigma$_zwf1_glucose	$\sigma$_zwf1_malic acid
YALI0B15598g	188.5583333333333	359.54833333333335	412.0916666666667	165.64	198.47833333333332	148.29166666666666	122.26499999999999	234.5583333333333	157.525	162.1	416.7633333333333	507.1016666666667	10.14635689956417	49.79653836697218	47.60102134758594	24.938826656440774	31.268892822313564	2.7298366862018235	10.377840574994401	26.643984468043303	20.321320700190736	7.334376251597671	59.09918280596891	31.953615731765584
YALI0B19382g	5.868333333333333	8.39	11.548333333333332	10.048333333333334	9.043333333333333	6.873333333333334	5.416666666666667	7.701666666666665	6.173333333333333	6.778333333333333	4.538333333333333	8.590000000000002	0.2891510562549154	0.45997282528427663	1.9107350243645334	4.00794315495284	0.9601605768481305	0.22892866428940986	0.7351417096950315	1.452457687278129	1.1817183815670012	1.401181049448405	0.9586492232998128	0.9317054255503715
YALI0B19998g	14.136666666666665	10.731666666666667	27.78333333333333	17.21333333333333	8.003333333333332	6.131666666666667	12.334999999999999	6.0633333333333335	14.01	5.053333333333333	1.8283333333333334	8.79	1.283591965280765	0.7464806315862024	5.380130884405449	4.172829775264423	0.9868679411822702	0.9205478441305117	1.0639196398224826	1.185499191620701	4.02258623276121	0.8338515055651902	0.5821153952038493	0.5129571132170795
YALI0B22308g	0.4266666666666667	0.9866666666666667	1.0133333333333334	0.5933333333333334	0.9800000000000001	0.47	0.5533333333333333	1.3500000000000003	0.5766666666666667	0.4183333333333333	1.2133333333333334	0.8666666666666667	0.05619905100029121	0.16357974609753287	0.14571661996262933	0.04907477288111817	0.1475635456337371	0.008660254037844393	0.060069404303133664	0.11715374513859982	0.041633319989322654	0.059651767227244266	0.2429163093193484	0.04645786621588789
YALI0C05665g	56.28166666666667	97.135	96.51833333333333	94.11333333333333	96.44833333333332	66.45333333333333	78.27833333333334	118.20666666666666	84.20833333333334	79.57666666666667	122.71166666666666	84.355	11.933120226216335	11.13317115650343	7.170873958823513	16.846370776322516	13.680281734428327	5.32682441360079	8.31899833713972	5.8825256763853835	8.26580657488024	7.341985993812125	15.038797602645426	7.926495127103784
YALI0C06369g	159.10833333333335	319.2	87.22666666666667	632.505	277.34	4.998333333333333	340.2366666666667	371.8533333333333	138.94	69.90833333333335	48.848333333333336	11.231666666666667	36.972510508935336	62.98865215259017	31.528283466331203	488.3000947419527	55.318702081664924	1.081923441530561	70.1069651199746	143.76955174282674	61.37334600622651	21.654716768716543	14.707024115480792	9.127882193221676
YALI0C06446g	30.820000000000004	107.32499999999999	76.11833333333333	27.373333333333335	46.84666666666667	42.61833333333333	22.25166666666667	57.25	44.75833333333333	22.536666666666665	58.06333333333333	69.07499999999999	0.9363893421008151	19.266280777565758	7.278472252700668	3.435641618873151	13.59169814016385	0.7927221034721658	3.070587620201273	13.195450920677175	3.053360170915535	0.6841296173484468	12.28332440072041	11.491541454478593
YALI0C06776g	26.165000000000003	29.866666666666664	62.038333333333334	36.10166666666667	31.19666666666667	27.496666666666666	32.86333333333334	31.60166666666667	36.745	22.515	18.2	39.255	2.9134129470433794	2.6662254843379856	7.658894067248436	4.010814547362333	6.6635769923767905	0.8635151031298377	1.8355539581644917	2.1264544042450924	7.751212808328769	1.6047741274085896	3.961764127254424	4.639700960191297
YALI0C07821g	0.04888888888888889	0.1411111111111111	0.06666666666666667	0.0688888888888889	0.03888888888888888	0.27444444444444444	0.058888888888888886	0.044444444444444446	0.10555555555555556	0.05777777777777778	0.08777777777777779	0.0788888888888889	0.006938886664887109	0.0019245008972987368	0.023333333333333338	0.023648662948658625	0.029876288132774993	0.018358568490953672	0.005091750772173158	0.015030832509409647	0.022689530951846816	0.01018350154434631	0.006938886664887113	0.02341256389522829
YALI0C11407g	20.678333333333335	38.36166666666667	38.163333333333334	26.080000000000002	59.61833333333333	19.841666666666665	22.868333333333336	72.98833333333333	30.243333333333336	24.62	22.045	28.12	0.5901129835322492	4.250365670543338	3.8036309407371975	1.722853737262684	10.903112323246667	0.7801495583113104	2.0627792740216595	7.051333798178426	2.259614642662183	3.60252342115912	4.400306807485132	3.1965176364287413
YALI0C11880g	0.22666666666666666	0.7111111111111111	0.30888888888888894	0.9088888888888889	0.41111111111111115	0.24	0.668888888888889	0.861111111111111	0.31888888888888883	0.24666666666666667	0.6733333333333333	0.49444444444444446	0.011547005383792512	0.08694400070884277	0.05231669940886025	0.6742924961545771	0.028738927014172355	0.04910306620885412	0.1868253293954107	0.36194433785280256	0.06379945431091376	0.08110350040397625	0.1888856208867625	0.012619796324000556
YALI0C14740p	0.5322222222222223	0.5944444444444444	0.5733333333333334	0.73	0.3955555555555556	0.29555555555555557	0.7288888888888888	0.4255555555555555	0.4833333333333334	0.46222222222222226	0.4977777777777777	0.41888888888888887	0.10029585863463786	0.15207210765267223	0.058594652770823076	0.2251666049839541	0.18682532939541066	0.048572206654209776	0.1400529000585665	0.059659527816261396	0.15191371820141122	0.021169509870286318	0.11042007332270971	0.2317645676431469
YALI0C14784g	1.4188888888888889	3.282222222222222	1.303333333333333	2.0811111111111114	2.031111111111111	1.1644444444444444	1.9255555555555555	2.3033333333333332	2.0211111111111113	2.3444444444444446	2.7944444444444443	1.662222222222222	0.31433056438040474	0.2111958894100542	0.36671211839504	0.166210486810929	0.2529456097296046	0.3466880335295591	0.5876916551062142	0.6055942903003999	0.4016678192698999	0.6226318096358154	0.6567371648564619	0.41207244958102146
YALI0C16885g	392.715	320.32666666666665	682.8616666666667	310.7283333333333	151.75333333333333	65.355	260.92	136.22333333333333	175.16166666666666	223.33833333333334	61.754999999999995	155.08833333333334	37.73040915495081	43.80867532045831	105.81874707882976	64.08817565146737	74.77041967471717	7.810460933901406	29.332085248069195	14.914897194863045	60.05107416469195	67.76854918273915	17.353632904956815	7.053625545301751
YALI0C16995g	438.86833333333334	53.57	682.9133333333333	813.9416666666666	39.82333333333333	488.51666666666665	647.6550000000001	35.205000000000005	508.32666666666665	140.9466666666667	20.261666666666663	224.54999999999998	54.99103525424248	5.346758363719085	85.27088839887462	151.66411295469123	16.204425578629234	43.86066470464547	83.15123255250036	4.951373546804966	167.3355785788944	3.322312196849261	5.295682990260399	11.272651640142195
YALI0C19085g	0.33888888888888885	0.958888888888889	0.12111111111111111	1.5166666666666666	1.0066666666666666	0.04666666666666667	1.0755555555555556	1.75	0.22999999999999998	0.28111111111111114	0.06444444444444444	0.06777777777777778	0.13267894973847094	0.4324906335958597	0.045256470787591783	1.6147480023555103	0.5538050198400154	0.008819171036881963	0.3767895571408136	1.4749613930917345	0.06984108946585654	0.19276737083661036	0.026943012562182535	0.03150543750835071
YALI0C19151g	0.28750000000000003	0.4258333333333333	0.6258333333333334	0.45083333333333336	0.4133333333333333	0.2725	0.19583333333333333	0.40416666666666673	0.5408333333333334	0.23333333333333336	0.6591666666666668	0.5566666666666666	0.1322875655532295	0.08036375634160793	0.16628915578994719	0.1727051919698228	0.08315397364728477	0.07119515432949075	0.08178987304876643	0.09207107761579274	0.13500771582888635	0.05257930518115785	0.22024607450152964	0.1458023776669411
YALI0C22682g	0.20333333333333334	0.45333333333333337	0.10166666666666667	0.45999999999999996	0.34833333333333333	0.04666666666666667	0.42	0.315	0.19000000000000003	0.11666666666666665	0.06499999999999999	0.03166666666666667	0.050083264004389075	0.0776745346515403	0.041932485418030414	0.11135528725660047	0.05575242894559243	0.011547005383792512	0.08321658488546622	0.12165525060596435	0.0692820323027551	0.05619905100029121	0.0304138126514911	0.012583057392117913
YALI0C24101g	15.056666666666667	55.26666666666667	25.221666666666668	8.135	24.888333333333335	2.7899999999999996	8.588333333333333	19.41	5.843333333333334	14.961666666666666	18.488333333333333	19.555	1.4345760116959059	6.628084816395562	3.382382050173121	2.2937469346028565	4.897104586726052	0.057662812973353815	0.8170883265188245	3.779494013753692	1.1242590152332923	1.7708072547099352	3.5344212161729276	2.1231815749012153
YALI0D02321g	0.045000000000000005	0.11333333333333333	0.045000000000000005	0.94	0.07666666666666666	0.021666666666666667	0.26999999999999996	0.25666666666666665	0.04	0.045000000000000005	0.03833333333333334	0.04	0.008660254037844392	0.046457866215887836	0.005	1.4723195984568025	0.02254624876411447	0.00288675134594813	0.1719738352191984	0.2942929379603481	0.008660254037844387	0.008660254037844381	0.005773502691896255	0.010000000000000002
YALI0D04741g	4.11	7.858333333333333	7.87	12.551666666666668	5.195	1.5666666666666664	7.385000000000001	7.706666666666668	5.6499999999999995	3.155	4.491666666666667	3.4933333333333336	0.6576663287716654	0.8518998376178579	0.21077238908357948	7.336520519519681	0.3231485726411309	0.3300505011863083	1.3240940298936483	0.9297087357518664	2.1938493567243857	0.36321481247328	0.5480039537570272	0.6652129984699139
