"Reactions of gene from enzyme activities for itaconate production in yarrowia"	"Matches"
RXN-15212	G1FV3-27881
RXN0-6554	G1FV3-27902
RXN0-6491	G1FV3-27902
DIHYDROOROTATE-DEHYDROGENASE-RXN	G1FV3-27902
1.3.1.71-RXN	G1FV3-27915
PANTEPADENYLYLTRAN-RXN	G1FV3-27925
GLUCOSAMINEPNACETYLTRANS-RXN	G1FV3-27957
RXN-7716	G1FV3-27986
RXN-8629	G1FV3-27986
1.8.1.4-RXN	G1FV3-27986
RXN0-1132	G1FV3-27986
RXN-7719	G1FV3-27986
RXN-11887	G1FV3-27991
RXN-16378	G1FV3-27991
RXN-4209	G1FV3-27991
RXN3O-218	G1FV3-27991
RXN-13883	G1FV3-27991
1.14.21.6-RXN	G1FV3-27991
RXN-13892	G1FV3-27991
IMP-DEHYDROG-RXN	G1FV3-28021
PHOSPHASERDECARB-RXN	G1FV3-28026 // G1FV3-27209
RXN-15007	G1FV3-28080
ACETYLORNTRANSAM-RXN	G1FV3-28080
RXN3O-127	G1FV3-28082
RXN-17517	G1FV3-28102
PROTOPORGENOXI-RXN	G1FV3-28102
RXN0-1133	G1FV3-28118
DIHYDLIPACETRANS-RXN	G1FV3-28118
MBCOA-DHLIPOAMIDE-RXN	G1FV3-28125
2.3.1.168-RXN	G1FV3-28125
ISOVALERYLCOA-DHLIPOAMIDE-RXN	G1FV3-28125
IMPCYCLOHYDROLASE-RXN	G1FV3-28152
AICARTRANSFORM-RXN	G1FV3-28152
ACETYLHOMOSER-CYS-RXN	G1FV3-28185
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	G1FV3-28185
RXN-12726	G1FV3-28185
ACSERLY-RXN	G1FV3-28185
SULFOCYS-RXN	G1FV3-28185
RXN-11839	G1FV3-28188
PANTOTHENATE-KIN-RXN	G1FV3-28199
FADSYN-RXN	G1FV3-28203
RXN-18511	G1FV3-28203
TRANS-RXN1FV3-18	G1FV3-28229
RXN-22	G1FV3-28240
ARGSUCCINLYA-RXN	G1FV3-28240
RXN-16030	G1FV3-28269 // G1FV3-30003
RXN-16121	G1FV3-28269 // G1FV3-30003
PHOSPHATIDATE-PHOSPHATASE-RXN	G1FV3-28269 // G1FV3-30003
RXN-17730	G1FV3-28269 // G1FV3-30003
THIOREDOXIN-REDUCT-NADPH-RXN	G1FV3-28274
PRTRANS-RXN	G1FV3-28276
RXN-16656	G1FV3-24023 // G1FV3-28413
RXN6666-5	G1FV3-24023 // G1FV3-28413
RXN-10912	G1FV3-24023 // G1FV3-28413
RXN-9758	G1FV3-24023 // G1FV3-28413
RXN-10917	G1FV3-24023 // G1FV3-28413
RXN-37	G1FV3-24023 // G1FV3-28413
RXN-10780	G1FV3-24023 // G1FV3-28413
ALDHDEHYDROG-RXN	G1FV3-24023 // G1FV3-28413
RXN-14225	G1FV3-24023 // G1FV3-28413
RXN-3443	G1FV3-24023 // G1FV3-28413
RXN-17808	G1FV3-24023 // G1FV3-28413
RXN-10089	G1FV3-24023 // G1FV3-28413
RXN-16655	G1FV3-24023 // G1FV3-28413
RXN-14280	G1FV3-24023 // G1FV3-28413
RXN-14224	G1FV3-24023 // G1FV3-28413
ADENYLYLSULFKIN-RXN	G1FV3-24030
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	G1FV3-24049
HISTAMINOTRANS-RXN	G1FV3-24068
RXN-16997	G1FV3-24114 // G1FV3-24107
PHOSPHOGLUCMUT-RXN	G1FV3-24114 // G1FV3-24107
RXN-16998	G1FV3-24114 // G1FV3-24107
GTP-CYCLOHYDRO-II-RXN	G1FV3-24116
GLUTATHIONE-PEROXIDASE-RXN	G1FV3-24117
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	G1FV3-24122
CITSYN-RXN	G1FV3-24134 // G1FV3-24040
HOMOACONITATE-HYDRATASE-RXN	G1FV3-24136
RXN-13722	G1FV3-24136
NAG1P-URIDYLTRANS-RXN	G1FV3-24154
RXN-13760	G1FV3-24154
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	G1FV3-24157
PYRIMSYN3-RXN	G1FV3-24203
RXN-12613	G1FV3-24203
OHMETPYRKIN-RXN	G1FV3-24203
THIAMINASE-RXN	G1FV3-24203
1.1.1.34-RXN	G1FV3-24230
ASPARAGINE--TRNA-LIGASE-RXN	G1FV3-24238 // G1FV3-24235
PROLINE--TRNA-LIGASE-RXN	G1FV3-24239
HISTIDPHOS-RXN	G1FV3-24240
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	G1FV3-24244 // G1FV3-27335
RXN-9024	G1FV3-24247
3.2.1.3-RXN	G1FV3-24247
GPPSYN-RXN	G1FV3-24272 // G1FV3-27816
FPPSYN-RXN	G1FV3-24272 // G1FV3-27816
2.1.1.17-RXN	G1FV3-24286
PHOSPHOMEVALONATE-KINASE-RXN	G1FV3-24292
P-PANTOCYSDECARB-RXN	G1FV3-24300
RXN-16758	G1FV3-24302
RXN-16757	G1FV3-24302
RXN-16756	G1FV3-24302
2TRANSKETO-RXN	G1FV3-24303
1TRANSKETO-RXN	G1FV3-24303
QUINOPRIBOTRANS-RXN	G1FV3-24328
RXN-7163	G1FV3-24332
UREA-CARBOXYLASE-RXN	G1FV3-24336
ALLOPHANATE-HYDROLASE-RXN	G1FV3-24336
ARGINASE-RXN	G1FV3-24348
RXN-34	G1FV3-24348
CYSTATHIONINE-BETA-SYNTHASE-RXN	G1FV3-24416
RXN-13202	G1FV3-24435 // G1FV3-27384 // G1FV3-29347
CARBPSYN-RXN	G1FV3-24435 // G1FV3-27384 // G1FV3-29347
RXN-14196	G1FV3-24435 // G1FV3-27384 // G1FV3-29347
RXN-16910	G1FV3-24435 // G1FV3-27384 // G1FV3-29347
RXN-16909	G1FV3-24435 // G1FV3-27384 // G1FV3-29347
ASPCARBTRANS-RXN	G1FV3-24435
GLUTAMIN-RXN	G1FV3-24435 // G1FV3-27384 // G1FV3-29347 // G1FV3-30251 // G1FV3-30077 // G1FV3-29599 // G1FV3-30976
RXN-15125	G1FV3-24472
4.3.1.17-RXN	G1FV3-24472
THREDEHYD-RXN	G1FV3-24472 // G1FV3-27168
RXN-15122	G1FV3-24472 // G1FV3-27168
ACETYL-COA-ACETYLTRANSFER-RXN	G1FV3-24508 // G1FV3-29737
METHYLACETOACETYLCOATHIOL-RXN	G1FV3-24508 // G1FV3-29737
DIMETHUROPORDEHYDROG-RXN	G1FV3-24521
SIROHEME-FERROCHELAT-RXN	G1FV3-24521
AMP-DEAMINASE-RXN	G1FV3-24526
6PGLUCONOLACT-RXN	G1FV3-24535 // G1FV3-29120
RXN-7607	G1FV3-24545 // G1FV3-29158 // G1FV3-30755
2.1.1.16-RXN	G1FV3-24571
RXN-7644	G1FV3-24572
L-IDITOL-2-DEHYDROGENASE-RXN	G1FV3-24572
HOMOCYSMET-RXN	G1FV3-24583
RXN-12730	G1FV3-24583
N-ACETYLTRANSFER-RXN	G1FV3-24597
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	G1FV3-24597
RXN0-6948	G1FV3-24597
HISTIDINE--TRNA-LIGASE-RXN	G1FV3-24600
PHOSPHAGLYPSYN-RXN	G1FV3-24643
MALATE-DEH-RXN	G1FV3-24647 // G1FV3-27802
RXN0-5515	G1FV3-24661
CDPDIGLYSYN-RXN	G1FV3-24661
GLYCINE--TRNA-LIGASE-RXN	G1FV3-24667
ANTHRANSYN-RXN	G1FV3-24674 // G1FV3-27559
MALSYN-RXN	G1FV3-24717 // G1FV3-27912
SQUALENE-MONOOXYGENASE-RXN	G1FV3-24718
HYDROXYACID-OXOACID-TRANSHYDROGENASE-RXN	G1FV3-24722
RXN-14300	G1FV3-24722
RXN-15035	G1FV3-24732 // G1FV3-29849
LYSOPHOSPHOLIPASE-RXN	G1FV3-24732 // G1FV3-29849
GLYOHMETRANS-RXN	G1FV3-24744 // G1FV3-28065
SULFITE-REDUCT-RXN	G1FV3-24745 // G1FV3-27563
TRANS-RXN1FV3-38	G1FV3-24750 // G1FV3-31113
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	G1FV3-24757
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	G1FV3-24757
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	G1FV3-24757
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	G1FV3-24757
2.3.1.158-RXN	G1FV3-24764
RXN-1641	G1FV3-24764
CHOLINE-KINASE-RXN	G1FV3-24769
RXN0-1147	G1FV3-24770
RXN-14250	G1FV3-24787
RXN3O-1380	G1FV3-24787
CHORISMATEMUT-RXN	G1FV3-24793
3.1.3.46-RXN	G1FV3-24800
NADH-KINASE-RXN	G1FV3-24815
ARGININE--TRNA-LIGASE-RXN	G1FV3-24816
GLUTATHIONE-REDUCT-NADPH-RXN	G1FV3-24818
2.6.1.22-RXN	G1FV3-24827
GABATRANSAM-RXN	G1FV3-24827
RXN-2901	G1FV3-24827
RXN-17121	G1FV3-24829
RXN-16889	G1FV3-24829
RXN-16891	G1FV3-24829
RXN-10701	G1FV3-24841
RXN-16561	G1FV3-24841
RXN-17787	G1FV3-24841
RXN-17799	G1FV3-24841
RXN-14394	G1FV3-24841
RXN-17116	G1FV3-24841
RXN-16137	G1FV3-24841
RXN-17782	G1FV3-24841
RXN-17795	G1FV3-24841
RXN-17791	G1FV3-24841
RXN-17778	G1FV3-24841
RXN-10700	G1FV3-24841
RXN-10699	G1FV3-24841
RXN-12710	G1FV3-24841
RXN-14268	G1FV3-24841
2.3.1.155-RXN	G1FV3-24841
RXN-11246	G1FV3-24841
RXN-14793	G1FV3-24841
RXN-14799	G1FV3-24841
RXN-14803	G1FV3-24841
RXN-14774	G1FV3-24841
RXN-14788	G1FV3-24841
KETOACYLCOATHIOL-RXN	G1FV3-24841
RXN-12561	G1FV3-24841 // G1FV3-24508 // G1FV3-29737
RXN-12565	G1FV3-24841
RXN-14274	G1FV3-24841
RXN-14277	G1FV3-24841
RXN-13617	G1FV3-24841
1.1.1.39-RXN	G1FV3-24844
OXALODECARB-RXN	G1FV3-24844
PHOSCHOL-RXN	G1FV3-24856
DOLICHOL-KINASE-RXN	G1FV3-24858
3.5.1.80-RXN	G1FV3-24914
NAG6PDEACET-RXN	G1FV3-24914
HEXOKINASE-RXN	G1FV3-24916 // G1FV3-24707 // G1FV3-30360
GLUCOKIN-RXN	G1FV3-24916 // G1FV3-24707 // G1FV3-30360
SAMDECARB-RXN	G1FV3-24922
TRANS-RXN1FV3-5	G1FV3-24938 // G1FV3-27745 // G1FV3-29042 // G1FV3-28621 // G1FV3-28301 // G1FV3-30231 // G1FV3-30225 // G1FV3-30096 // G1FV3-29780
PHEAMINOTRANS-RXN	G1FV3-24950
TRYPTOPHAN-AMINOTRANSFERASE-RXN	G1FV3-24950
2.6.1.57-RXN	G1FV3-24950
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	G1FV3-24950
RXN-14147	G1FV3-24950
TYROSINE-AMINOTRANSFERASE-RXN	G1FV3-24950
13-BETA-GLUCAN-SYNTHASE-RXN	G1FV3-24952 // G1FV3-28344
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	G1FV3-24964
THIAMIN-PYROPHOSPHOKINASE-RXN	G1FV3-24966
3.1.1.69-RXN	G1FV3-24992
RXN-14819	G1FV3-25023
GLU6PDEHYDROG-RXN	G1FV3-25023
TRANS-RXN1FV3-1	G1FV3-25037
PHENYLALANINE--TRNA-LIGASE-RXN	G1FV3-25038 // G1FV3-27797 // G1FV3-29098
TRANS-RXN1FV3-2	G1FV3-25083
RXN-8988	G1FV3-25089 // G1FV3-27262
SUCCCOASYN-RXN	G1FV3-25089 // G1FV3-27262
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN	G1FV3-25089 // G1FV3-27262
GLYOXI-RXN	G1FV3-25091
FORMYLTHFGLUSYNTH-RXN	G1FV3-25112
RXN-6341	G1FV3-25112
RXN0-2921	G1FV3-25112
FOLYLPOLYGLUTAMATESYNTH-RXN	G1FV3-25112
2.7.7.1-RXN	G1FV3-25161
NICONUCADENYLYLTRAN-RXN	G1FV3-25161
RXN-15261	G1FV3-25165
GUANINE-DEAMINASE-RXN	G1FV3-25165
RXN-8631	G1FV3-25178
F16ALDOLASE-RXN	G1FV3-25178
RXN-9985	G1FV3-25212
3.2.1.48-RXN	G1FV3-25212
UDPGLUCEPIM-RXN	G1FV3-25217
NAD-KIN-RXN	G1FV3-25266
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	G1FV3-25276 // G1FV3-29471 // G1FV3-30522
RXN-13729	G1FV3-25280
SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN	G1FV3-25280
GLURS-RXN	G1FV3-25292 // G1FV3-24813
RXN-10721	G1FV3-25308
2.6.1.7-RXN	G1FV3-25308
ADENYLOSUCCINATE-SYNTHASE-RXN	G1FV3-25317
TYROSINE--TRNA-LIGASE-RXN	G1FV3-25325 // G1FV3-28951
2.7.1.150-RXN	G1FV3-25326
RXN-16425	G1FV3-25345
RXN-16426	G1FV3-25345
PHOSACETYLGLUCOSAMINEMUT-RXN	G1FV3-25345
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	G1FV3-25349 // G1FV3-28106 // G1FV3-27572 // G1FV3-31027
RXN-14971	G1FV3-25349 // G1FV3-28106 // G1FV3-27572 // G1FV3-31027
RXN-15378	G1FV3-25349 // G1FV3-28106 // G1FV3-27572 // G1FV3-31027
RXN0-1461	G1FV3-25363
GLUTCYSLIG-RXN	G1FV3-25369
GLUTSEMIALDEHYDROG-RXN	G1FV3-25386
6.3.4.11-RXN	G1FV3-25391
BIOTINLIG-RXN	G1FV3-25391
6.3.4.9-RXN	G1FV3-25391
6.3.4.10-RXN	G1FV3-25391
RXN0-7192	G1FV3-25391
ACETYL-COA-HYDROLASE-RXN	G1FV3-25409
URIDINEKIN-RXN	G1FV3-25411
URKI-RXN	G1FV3-25411
TRANS-RXN0-470	G1FV3-25413
RXN1G-1435	G1FV3-25414 // G1FV3-27706
RXN1G-1438	G1FV3-25414 // G1FV3-27706
RXN1G-1436	G1FV3-25414 // G1FV3-27706
RXN1G-1439	G1FV3-25414 // G1FV3-27706
RXN1G-1437	G1FV3-25414 // G1FV3-27706
TREHALOSEPHOSPHA-RXN	G1FV3-25414 // G1FV3-27706
TREHALOSE6PSYN-RXN	G1FV3-25414 // G1FV3-24671 // G1FV3-27706
3.1.4.17-RXN	G1FV3-25489 // G1FV3-30746
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	G1FV3-25499
GLYCPDIESTER-RXN	G1FV3-25502
RXN-14073	G1FV3-25502
RXN-14136	G1FV3-25502
RXN-14160	G1FV3-25502
TRANS-RXN1FV3-12	G1FV3-25507 // G1FV3-27955 // G1FV3-29225 // G1FV3-28968
SAICARSYN-RXN	G1FV3-25512
SPERMIDINESYN-RXN	G1FV3-25517
3.6.3.16-RXN	G1FV3-25535
2OXOGLUTDECARB-RXN	G1FV3-25536
PROTEIN-KINASE-RXN	G1FV3-25549
IMIDPHOSDEHYD-RXN	G1FV3-25557
2.4.1.142-RXN	G1FV3-25565
ATP-CITRATE-PRO-S--LYASE-RXN	G1FV3-25596 // G1FV3-28153
LEUKOTRIENE-A4-HYDROLASE-RXN	G1FV3-25630
GLYCEROL-KIN-RXN	G1FV3-25634
GLUTAMINESYN-RXN	G1FV3-25635
RXN-10769	G1FV3-25688 // G1FV3-29992
3.2.1.21-RXN	G1FV3-25688 // G1FV3-29992
RXN-10773	G1FV3-25688 // G1FV3-29992
RXN-8036	G1FV3-25688 // G1FV3-29992
RXN-5341	G1FV3-25688 // G1FV3-29992
RXN-13602	G1FV3-25688 // G1FV3-29992
RXN-9674	G1FV3-25688 // G1FV3-29992
RXN-13603	G1FV3-25688 // G1FV3-29992
RXN-14179	G1FV3-25688 // G1FV3-29992
LEUCINE--TRNA-LIGASE-RXN	G1FV3-25717 // G1FV3-25117
2-METHYLCITRATE-DEHYDRATASE-RXN	G1FV3-25726
RXN0-2161	G1FV3-25731 // G1FV3-29623
SERINE--TRNA-LIGASE-RXN	G1FV3-25731 // G1FV3-29623
GCVT-RXN	G1FV3-25741
RXN0-361	G1FV3-25776
URIDINE-NUCLEOSIDASE-RXN	G1FV3-25776
IPPISOM-RXN	G1FV3-25796
ISOCITDEH-RXN	G1FV3-25800
RXN-9951	G1FV3-25800
RXN-8642	G1FV3-25800
RXN-15830	G1FV3-25802 // G1FV3-25774 // G1FV3-25757 // G1FV3-24894 // G1FV3-24760 // G1FV3-24580 // G1FV3-24464
CYTOCHROME-C-OXIDASE-RXN	G1FV3-25802 // G1FV3-25774 // G1FV3-25757 // G1FV3-24894 // G1FV3-24760 // G1FV3-24580 // G1FV3-24464
RXN0-5184	G1FV3-25805
RXN-9025	G1FV3-25805
GLYCOPHOSPHORYL-RXN	G1FV3-25805
GLYMALTOPHOSPHORYL-RXN	G1FV3-25805
RXN-12392	G1FV3-25805
RXN-12171	G1FV3-25805
RXN-14286	G1FV3-25805
RXN-14285	G1FV3-25805
RXN-14284	G1FV3-25805
RXN0-5182	G1FV3-25805
RXN-14353	G1FV3-25805
RXN-1826	G1FV3-25805
LANOSTEROL-SYNTHASE-RXN	G1FV3-25814
LACTALDEHYDE-OXI-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
LACTALDDEHYDROG-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN-12165	G1FV3-25817 // G1FV3-27412
R222-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN66-472	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN-4142	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN66-3	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN0-3962	G1FV3-25817 // G1FV3-27412
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN	G1FV3-25817 // G1FV3-27412
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	G1FV3-25817 // G1FV3-27412
RXN66-476	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	G1FV3-25817 // G1FV3-27412
RXN-16653	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN-16654	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN-11746	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
FORMALDEHYDE-DEHYDROGENASE-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN-5581	G1FV3-25817 // G1FV3-27412
RXN-10715	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
PHENDEHYD-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
RXN66-479	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
1.2.1.65-RXN	G1FV3-25817 // G1FV3-24023 // G1FV3-27412 // G1FV3-28413
METHYLVALERATE-RXN	G1FV3-25842 // G1FV3-27445
1.2.4.4-RXN	G1FV3-25842 // G1FV3-27445
KETOISOCAPROATE-RXN	G1FV3-25842 // G1FV3-27445
PRIBFAICARPISOM-RXN	G1FV3-25849
TRIOSEPISOMERIZATION-RXN	G1FV3-25850
3.2.1.58-RXN	G1FV3-25859 // G1FV3-29521
RXN-9230	G1FV3-25869
RXN-9222	G1FV3-25869
RXN-9003	G1FV3-25869
2.5.1.39-RXN	G1FV3-25869
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	G1FV3-25869
RXN-11368	G1FV3-25869
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	G1FV3-25870
RXN-14048	G1FV3-25882
RXN-15130	G1FV3-25882
RXN-15129	G1FV3-25882
LCYSDESULF-RXN	G1FV3-25882
RXN-14049	G1FV3-25882
HOMOSERDEAM-RXN	G1FV3-25882
ACETATE--COA-LIGASE-RXN	G1FV3-25886
RXN-18448	G1FV3-25886
RXN-18447	G1FV3-25886
RXN-18446	G1FV3-25886
SPHINGOSINE-N-ACYLTRANSFERASE-RXN	G1FV3-25910
RXN3DJ-118	G1FV3-25910
RXN-7792	G1FV3-25910
RXN3O-328	G1FV3-25910
PSERTRANSAMPYR-RXN	G1FV3-25912
PSERTRANSAM-RXN	G1FV3-25912
STEROL-O-ACYLTRANSFERASE-RXN	G1FV3-25918
RXN-15134	G1FV3-25918
RXN-15132	G1FV3-25918
UREIDOGLYCOLATE-LYASE-RXN	G1FV3-25924
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	G1FV3-25929
TRANS-RXN1FV3-26	G1FV3-25931
PGLUCISOM-RXN	G1FV3-25969
GLUCONOKIN-RXN	G1FV3-25974
1.11.1.15-RXN	G1FV3-25992 // G1FV3-25139 // G1FV3-24881 // G1FV3-30032
RXN0-5468	G1FV3-25992 // G1FV3-25139 // G1FV3-24881 // G1FV3-30032
NADPYROPHOSPHAT-RXN	G1FV3-25995
RXN0-4401	G1FV3-25995
GLUTDECARBOX-RXN	G1FV3-26001 // G1FV3-29021
RXN-4021	G1FV3-26013
RXN3O-178	G1FV3-26013
PEPDEPHOS-RXN	G1FV3-26034
RXN-14192	G1FV3-26034
RXN-14207	G1FV3-26034
RXN-14117	G1FV3-26034
NUCLEOSIDE-DIP-KIN-RXN	G1FV3-26035
RXN-14228	G1FV3-26035
RXN-14120	G1FV3-26035
CDPKIN-RXN	G1FV3-26035
DADPKIN-RXN	G1FV3-26035
DCDPKIN-RXN	G1FV3-26035
DGDPKIN-RXN	G1FV3-26035
DTDPKIN-RXN	G1FV3-26035
DUDPKIN-RXN	G1FV3-26035
GDPKIN-RXN	G1FV3-26035
UDPKIN-RXN	G1FV3-26035
URATE-OXIDASE-RXN	G1FV3-26036
TRIOKINASE-RXN	G1FV3-26037
GLYCERONE-KINASE-RXN	G1FV3-26037
RXN-11695	G1FV3-26037
RXN-11832	G1FV3-26040
RXN-7913	G1FV3-26040
RXN-12002	G1FV3-26040
UROGENIIISYN-RXN	G1FV3-26045
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	G1FV3-26050
RXN3O-4113	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-7694	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-10911	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-10915	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-7693	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-7706	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-10781	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
ALCOHOL-DEHYDROG-GENERIC-RXN	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-12448	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-161	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
ALCOHOL-DEHYDROG-RXN	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-5424	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-7657	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-7700	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN66-478	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-13198	G1FV3-26052 // G1FV3-24807 // G1FV3-28206 // G1FV3-31093 // G1FV3-31042
RXN-2962	G1FV3-26052
RXN-17884	G1FV3-26052
DEPHOSPHOCOAKIN-RXN	G1FV3-26053
KETOGLUTREDUCT-RXN	G1FV3-26067
RXN-16701	G1FV3-26067
PGLYCDEHYDROG-RXN	G1FV3-26067
RXN-15065	G1FV3-26069
RXN-15067	G1FV3-26069
RXN-12579	G1FV3-26069 // G1FV3-25435 // G1FV3-27914 // G1FV3-27839
PHOSPHOLIPASE-A2-RXN	G1FV3-26069
RXN-17736	G1FV3-26069
RXN-17735	G1FV3-26069
STEROL-ESTERASE-RXN	G1FV3-26069 // G1FV3-25463
TRIACYLGLYCEROL-LIPASE-RXN	G1FV3-26069 // G1FV3-25435 // G1FV3-27914 // G1FV3-27839
RXN-16138	G1FV3-26069
RXN-16139	G1FV3-26069
RXN0-6725	G1FV3-26069
RXN-15068	G1FV3-26069
RXN-15135	G1FV3-26069 // G1FV3-25463
RXN-15133	G1FV3-26069 // G1FV3-25463
RXN-12086	G1FV3-26069 // G1FV3-25435 // G1FV3-27914 // G1FV3-27839
RXN-14576	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-17113	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-16134	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-10707	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-10706	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-10696	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-14775	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-18383	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-14789	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-14796	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-14771	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-14785	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-11026	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-12518	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-18461	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-12669	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
RXN-15977	G1FV3-26106 // G1FV3-25504 // G1FV3-28166 // G1FV3-29342
XYLULOKIN-RXN	G1FV3-26109
THREONINE--TRNA-LIGASE-RXN	G1FV3-26122 // G1FV3-30807
RXN-6269	G1FV3-26125
RXN-13188	G1FV3-26125
1.14.13.72-RXN	G1FV3-26125
RXN-13711	G1FV3-26125
RXN66-15	G1FV3-26125
RXN-13712	G1FV3-26125
RXN66-310	G1FV3-26125
RXN66-312	G1FV3-26125
RXN66-17	G1FV3-26125
RXN66-317	G1FV3-26125
RXN66-22	G1FV3-26125
RXN66-311	G1FV3-26125
RXN66-16	G1FV3-26125
RXN66-316	G1FV3-26125
RXN66-21	G1FV3-26125
RXN-13710	G1FV3-26125
RXN66-20	G1FV3-26125
RXN-13709	G1FV3-26125
RXN66-315	G1FV3-26125
RXN-6271	G1FV3-26125
ADENOSYLHOMOCYSTEINASE-RXN	G1FV3-26147
RXN-13302	G1FV3-26155
