"Reactions of gene from enzyme activities for itaconate production in yarrowia"	"Matches"
RXN-4144	G1FV3-30406
RXN-16117	G1FV3-28290
RXN-17016	G1FV3-28290
2.3.1.42-RXN	G1FV3-28290
RXN-1381	G1FV3-28290
RXN-17017	G1FV3-28290
RXN-17018	G1FV3-28290
RXN-10462	G1FV3-28290
RXN-15044	G1FV3-28290
RXN-13805	G1FV3-28290
RXN-16024	G1FV3-28290
RXN-15045	G1FV3-28290
3-ISOPROPYLMALDEHYDROG-RXN	G1FV3-28299
RXN-13158	G1FV3-28299
RXN-14986	G1FV3-28299
RXN-18210	G1FV3-28299
RXNQT-4165	G1FV3-28299
RXN-18208	G1FV3-28299
RXNQT-4168	G1FV3-28299
RXN-18206	G1FV3-28299
RXNQT-4171	G1FV3-28299
RXN-18204	G1FV3-28299
RXNQT-4174	G1FV3-28299
RXN-18202	G1FV3-28299
RXNQT-4178	G1FV3-28299
RXN-18200	G1FV3-28299
RIBOFLAVIN-SYN-RXN	G1FV3-28331
RXN-10642	G1FV3-28357
UROGENDECARBOX-RXN	G1FV3-28357
TRANS-RXN1FV3-7	G1FV3-28387 // G1FV3-31292
RXN-14776	G1FV3-28412
RXN-14790	G1FV3-28412
RXN-14715	G1FV3-28412
RXN-7835	G1FV3-28412
RXN-12521	G1FV3-28412
RXN-7911	G1FV3-28412
DIENOYLCOAREDUCT-RXN	G1FV3-28412
GLUTAMINE--TRNA-LIGASE-RXN	G1FV3-28444
3.1.4.11-RXN	G1FV3-28466
RXN-13334	G1FV3-28466
RXN-16261	G1FV3-28466
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	G1FV3-28477
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	G1FV3-28477
ATPPHOSPHORIBOSYLTRANS-RXN	G1FV3-28506
RXN-7571	G1FV3-28509
RXN-14467	G1FV3-28509
RXN-7708	G1FV3-28509
2.6.1.58-RXN	G1FV3-28509
2.6.1.28-RXN	G1FV3-28509
RXN3O-4157	G1FV3-28509
TRANS-RXN-114	G1FV3-28533 // G1FV3-31306 // G1FV3-31041
RXN-10664	G1FV3-28542
1.14.19.1-RXN	G1FV3-28542
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	G1FV3-28548
2.7.7.14-RXN	G1FV3-28558
GAPOXNPHOSPHN-RXN	G1FV3-28561
RXN-18433	G1FV3-28564
RXN-18432	G1FV3-28564
2.7.7.13-RXN	G1FV3-28567
