	fluxes	reduced_costs
y000102	0.0	-2.220446049250313e-16
y000103	0.0	-0.01368157502292111
y000104	0.0	-0.027363150045837892
y000105	0.0	0.0
y000106	0.0	0.0
y000107	0.0	-1.9918457812863508
y000108	0.0	3.469446951953614e-18
y000109	0.0	0.0
y000111	0.0	-0.08208945013749946
y000112	0.5306809319888937	0.0
y000113	-4.8478932846508054e-17	0.0
y000114	0.0	0.0
y000115	-6.596106494851901e-17	0.0
y000116	0.0	0.0
y000117	0.0	0.0
y000118	-6.596106494851901e-17	0.0
y000120	0.0	0.0
y000121	0.0	0.0
y000122	0.0	-1.2476501894897876
y000123	0.0	0.0
y000124	0.0	-0.21614152221203042
y000125	0.0	0.0
y000127	0.0	0.0
y000132	0.0	0.0
y000137	0.0	-0.0
y000139	0.0	0.0
y000142	0.0	0.0
y000143	0.0	-0.08208945013749824
y000144	0.0	0.0
y000145	0.0	0.0
y000146	0.0	-0.0
y000147	0.0	-0.06840787511458268
y000148	0.5306809319888912	0.0
y000149	-4.8478932846508054e-17	0.0
y000150	0.0	-0.0
y000151	-1.2255324004983893e-15	0.0
y000152	-1.2255324004983893e-15	2.220446049250313e-16
y000153	-1.2255324004983893e-15	-2.220446049250313e-16
y000154	0.0	0.0
y000155	0.0	0.0
y000156	0.0	-2.220446049250313e-16
y000157	0.0	-1.2010781081118065
y000163	0.19403209697500656	0.0
y000164	0.0	0.0
y000165	0.19403209697500656	0.0
y000166	0.0	-0.10668892202870506
y000167	0.0	-0.10668892202870506
y000168	0.0	-0.17509679714328819
y000169	0.0	-0.10668892202870506
y000170	0.0	-0.10668892202870506
y000172	0.0	0.0
y000173	0.5306809319888937	0.0
y000174	0.0	-0.08208945013750024
y000175	0.0	-0.08208945013750335
y000176	0.0	-0.0820894501374998
y000177	0.0	0.0
y000178	0.0	-0.0820894501375029
y000179	0.0	-2.9548097576993104
y000180	0.0	-2.9548097576993118
y000182	0.0	-0.10668892202870506
y000183	0.0	-0.10668892202870506
y000185	0.0	0.0
y000186	0.0	-0.10668892202870506
y000187	0.0	-0.10668892202870506
y000188	0.0	-3.42551066478773
y000189	0.0	-0.0
y000190	0.0	0.0
y000191	0.0	-0.041044725068749816
y000192	0.0	-2.333748341109035
y000193	0.0	-0.10945260018333158
y000194	0.0	-0.10945260018333158
y000195	0.0	0.0
y000199	0.0	0.0
y000201	0.0	2.220446049250313e-16
y000202	1.2221267848347797e-17	6.938893903907228e-18
y000203	0.0	0.0
y000204	0.0	0.0
y000205	0.0	-0.17509679714328819
y000206	0.0	-0.2325867753895805
y000207	0.0	0.0
y000208	0.0	-2.220446049250313e-16
y000209	0.0	-2.199696269034487
y000210	0.0	-0.027363150045833326
y000211	0.0	-0.10945260018333358
y000212	0.0	-1.283167558249304
y000213	0.0	-0.027363150045833326
y000214	0.0	0.0
y000215	0.5306809319888918	0.0
y000216	-0.5306809319888903	-2.220446049250313e-16
y000217	-6.661338147750939e-16	2.220446049250313e-16
y000218	0.0	0.0
y000219	0.5306809319888918	1.3183898417423734e-15
y000220	0.0	-1.2831675582493043
y000221	0.0	6.938893903907228e-18
y000222	0.0	-0.041044725068749344
y000225	0.0	0.0
y000226	4.582096290925008	-3.191891195797325e-16
y000227	0.0	0.0
y000228	0.0	0.0
y000229	0.0	-0.0
y000230	0.0	0.0
y000231	0.0	0.0
y000233	0.0	0.0
y000234	0.0	0.0
y000235	0.0	4.440892098500626e-16
y000236	0.0	0.0
y000237	0.0	0.0
y000238	0.0	0.0
y000239	0.0	0.0
y000240	0.0	0.0
y000241	0.0	0.0
y000242	0.0	0.0
y000243	0.0	0.0
y000244	0.0	8.847089727481716e-16
y000249	0.0	6.938893903907228e-18
y000250	0.0	-2.220446049250313e-16
y000251	0.0	0.0
y000252	0.5306809319888938	0.0
y000253	0.0	0.0
y000254	0.5306809319888938	0.0
y000255	0.0	0.0
y000256	0.0	0.0
y000257	0.0	0.0
y000258	0.0	1.6653345369377348e-16
y000259	0.0	-0.17509679714328819
y000260	0.0	-17.296712317522008
y000261	0.0	-0.17509679714328819
y000262	0.0	-18.566198300748393
y000263	0.0	-0.06840787511458582
y000264	0.0	-0.06840787511458404
y000265	0.0	-0.06840787511458579
y000266	0.0	-0.06840787511458402
y000267	0.0	-17.296712317522008
y000268	0.0	-18.566198300748393
y000269	0.0	-0.17509679714328819
y000270	0.0	-0.17509679714328819
y000271	0.0	-2.484245666361118
y000272	0.0	0.0
y000273	0.0	0.0
y000274	0.0	6.938893903907228e-18
y000275	0.0	-8.847089727481716e-16
y000277	0.0	-8.847089727481716e-16
y000278	0.0	0.0
y000279	0.0	-1.3877787807814457e-17
y000280	0.0	-1.7763568394002505e-15
y000281	0.0	0.0
y000282	0.0	0.0
y000283	0.0	0.0
y000284	0.0	0.0
y000285	0.0	0.0
y000286	0.0	0.0
y000287	0.0	0.0
y000288	0.0	0.0
y000289	0.0	0.0
y000290	0.0	0.0
y000291	0.0	0.0
y000292	0.0	0.0
y000293	0.0	0.0
y000294	0.0	-0.0
y000295	0.0	-0.0
y000296	0.0	0.0
y000297	0.0	0.0
y000298	0.0	0.0
y000299	0.0	0.0
y000300	1.1326702329972251	4.996003610813204e-16
y000301	0.0	-2.027363150045832
y000302	1.1326702329972251	0.0
y000303	0.0	8.881784197001252e-16
y000304	0.0	1.3877787807814457e-17
y000306	0.0	-0.041044725068750676
y000307	0.0	0.0
y000308	0.2653404659944485	1.1102230246251565e-16
y000309	0.2653404659944485	-1.1102230246251565e-16
y000310	0.0	-0.041044725068749566
y000311	-1.2693148827109512e-18	-2.220446049250313e-16
y000312	0.0	0.0
y000313	0.0	-1.7810947996333382
y000314	0.0	-0.08208945013749891
y000315	0.0	0.0
y000317	0.0	4.440892098500626e-16
y000318	0.0	0.0
y000319	0.0	0.0
y000320	0.0	-0.06840787511458313
y000321	0.0	0.0
y000322	0.0	-0.0
y000323	0.0	0.0
y000326	0.0	0.0
y000327	0.0	-0.041044725068749566
y000329	0.0	0.0
y000330	0.0	-2.220446049250313e-16
y000331	0.0	0.0
y000332	0.0	0.0
y000334	0.0	-1.2393591550259289
y000335	0.0	0.0
y000336	0.0	0.0
y000336_1	0.0	3.552713678800501e-15
y000337	0.0	0.0
y000337_1	0.0	0.0
y000337_2	0.0	0.0
y000340	0.0	-1.3877787807814457e-17
y000341	0.0	8.743006318923108e-16
y000342	0.0	0.0
y000343	0.0	0.0
y000344	0.0	-0.35019359428657637
y000345	0.0	-0.213377844057404
y000346	0.0	-1.9944726436907434
y000347	0.0	0.0
y000348	0.0	0.0
y000349	0.0	-0.0
y000350	0.0	0.0
y000351	0.0	-0.08208945013749945
y000352	7.5541789623255e-18	0.0
y000353	0.0	0.0
y000354	0.0	-0.10945260018332714
y000355	0.0	-2.1510571102112408e-16
y000356	0.0	-0.0
y000357	0.0	-0.04104472506874943
y000358	0.0	0.0
y000359	0.0	-0.7168324417506948
y000360	0.0	0.0
y000361	0.0	0.0
y000362	0.0	3.469446951953614e-18
y000363	0.0	-0.041044725068749344
y000364	0.0	-0.027363150045832882
y000366	2.000000000000002	0.0
y000368	0.0	0.0
y000369	0.0	0.0
y000370	0.0	0.0
y000373	0.0	-2.1510571102112408e-16
y000381	0.0	0.0
y000399	0.0	-2.220446049250313e-16
y000400	0.0	4.440892098500626e-16
y000402	0.0	8.881784197001252e-16
y000410	0.0	0.0
y000412	0.0	4.440892098500626e-16
y000436	0.0	1.3877787807814457e-17
y000437	-2.86197870815669e-33	-2.1718737919229625e-15
y000438	3.6119358060499893	0.0
y000439	1.8059679030249947	0.0
y000440	0.0	-3.611525358799305
y000443	0.0	0.0
y000445	0.0	-0.10945260018333158
y000446	1.1265841590886557e-15	-2.220446049250313e-16
y000447	0.0	-2.42861286636753e-17
y000448	0.0	-0.04104472506874937
y000449	0.0	-0.04104472506874937
y000450	1.0000000000000009	0.0
y000451	4.8478932846508054e-17	-0.0
y000452	-2.3953667674043556e-15	-0.0
y000453	0.0	0.0
y000457	0.0	-2.7769492824013917
y000458	0.0	0.0
y000459	0.0	6.938893903907228e-18
y000460	0.0	-3.3980106989916727
y000462	0.0	-2.1510571102112408e-16
y000463	0.0	-0.041044725068749344
y000464	0.0	0.0
y000466	0.0	-0.027363150045832896
y000467	1.0	0.0
y000468	0.0	-0.06840787511458624
y000469	0.0	-0.013681575022916892
y000470	0.0	-0.04104472506874868
y000471	0.0	-0.02736315004583445
y000472	0.53068093198889	-1.1102230246251565e-15
y000473	0.0	-1.3877787807814457e-17
y000476	0.5306809319888879	6.661338147750939e-16
y000477	0.0	0.0
y000478	0.0	-1.6716421994500026
y000479	0.0	-1.630597474381252
y000480	0.0	-1.630597474381252
y000481	0.0	-0.17509679714328819
y000482	0.0	-0.020084552133644462
